state,variable,value
Johor,12 - 17,22096
Kedah,12 - 17,23421
Kelantan,12 - 17,24315
Melaka,12 - 17,8514
Negeri Sembilan,12 - 17,15841
Pahang,12 - 17,12832
Perak,12 - 17,13894
Perlis,12 - 17,918
Pulau Pinang,12 - 17,15825
Sabah,12 - 17,31093
Sarawak,12 - 17,22510
Selangor,12 - 17,82086
Terengganu,12 - 17,9367
W.P. Kuala Lumpur,12 - 17,20479
W.P. Labuan,12 - 17,1530
W.P. Putrajaya,12 - 17,1841
Johor,18 - 29,110555
Kedah,18 - 29,75545
Kelantan,18 - 29,56694
Melaka,18 - 29,38300
Negeri Sembilan,18 - 29,56887
Pahang,18 - 29,42375
Perak,18 - 29,56239
Perlis,18 - 29,4399
Pulau Pinang,18 - 29,83676
Sabah,18 - 29,95250
Sarawak,18 - 29,71323
Selangor,18 - 29,393720
Terengganu,18 - 29,29595
W.P. Kuala Lumpur,18 - 29,118475
W.P. Labuan,18 - 29,5786
W.P. Putrajaya,18 - 29,4728
Johor,30 - 39,86522
Kedah,30 - 39,57310
Kelantan,30 - 39,43132
Melaka,30 - 39,29522
Negeri Sembilan,30 - 39,48851
Pahang,30 - 39,36960
Perak,30 - 39,43955
Perlis,30 - 39,3989
Pulau Pinang,30 - 39,61513
Sabah,30 - 39,84590
Sarawak,30 - 39,57926
Selangor,30 - 39,348966
Terengganu,30 - 39,26231
W.P. Kuala Lumpur,30 - 39,113250
W.P. Labuan,30 - 39,5061
W.P. Putrajaya,30 - 39,8011
Johor,40 - 49,49149
Kedah,40 - 49,38320
Kelantan,40 - 49,28714
Melaka,40 - 49,16129
Negeri Sembilan,40 - 49,28083
Pahang,40 - 49,21314
Perak,40 - 49,26849
Perlis,40 - 49,2241
Pulau Pinang,40 - 49,41826
Sabah,40 - 49,52894
Sarawak,40 - 49,39637
Selangor,40 - 49,204365
Terengganu,40 - 49,15062
W.P. Kuala Lumpur,40 - 49,59543
W.P. Labuan,40 - 49,2771
W.P. Putrajaya,40 - 49,4824
Johor,50 - 59,32693
Kedah,50 - 59,29073
Kelantan,50 - 59,24821
Melaka,50 - 59,10973
Negeri Sembilan,50 - 59,18486
Pahang,50 - 59,15072
Perak,50 - 59,21764
Perlis,50 - 59,1728
Pulau Pinang,50 - 59,28585
Sabah,50 - 59,35698
Sarawak,50 - 59,34339
Selangor,50 - 59,121170
Terengganu,50 - 59,11230
W.P. Kuala Lumpur,50 - 59,35231
W.P. Labuan,50 - 59,1749
W.P. Putrajaya,50 - 59,1450
Johor,60 - 69,21684
Kedah,60 - 69,19073
Kelantan,60 - 69,18874
Melaka,60 - 69,7701
Negeri Sembilan,60 - 69,12399
Pahang,60 - 69,9912
Perak,60 - 69,17706
Perlis,60 - 69,1346
Pulau Pinang,60 - 69,18802
Sabah,60 - 69,21757
Sarawak,60 - 69,24381
Selangor,60 - 69,66129
Terengganu,60 - 69,8495
W.P. Kuala Lumpur,60 - 69,22194
W.P. Labuan,60 - 69,877
W.P. Putrajaya,60 - 69,599
Johor,70 - 79,9717
Kedah,70 - 79,8103
Kelantan,70 - 79,8964
Melaka,70 - 79,3485
Negeri Sembilan,70 - 79,4569
Pahang,70 - 79,4548
Perak,70 - 79,9029
Perlis,70 - 79,751
Pulau Pinang,70 - 79,9201
Sabah,70 - 79,8855
Sarawak,70 - 79,12339
Selangor,70 - 79,24377
Terengganu,70 - 79,3966
W.P. Kuala Lumpur,70 - 79,9691
W.P. Labuan,70 - 79,300
W.P. Putrajaya,70 - 79,250
Johor,80+,4024
Kedah,80+,3203
Kelantan,80+,2845
Melaka,80+,1462
Negeri Sembilan,80+,1852
Pahang,80+,1560
Perak,80+,3917
Perlis,80+,316
Pulau Pinang,80+,4000
Sabah,80+,3977
Sarawak,80+,5183
Selangor,80+,8719
Terengganu,80+,1391
W.P. Kuala Lumpur,80+,3893
W.P. Labuan,80+,158
W.P. Putrajaya,80+,106
Johor,0 - 11,50273
Kedah,0 - 11,48024
Kelantan,0 - 11,43173
Melaka,0 - 11,17414
Negeri Sembilan,0 - 11,28229
Pahang,0 - 11,30671
Perak,0 - 11,27032
Perlis,0 - 11,2594
Pulau Pinang,0 - 11,31640
Sabah,0 - 11,56184
Sarawak,0 - 11,41887
Selangor,0 - 11,171180
Terengganu,0 - 11,22554
W.P. Kuala Lumpur,0 - 11,40489
W.P. Labuan,0 - 11,3877
W.P. Putrajaya,0 - 11,5040
