state,variable,value
Johor,Unvaccinated,181901
Kedah,Unvaccinated,128740
Kelantan,Unvaccinated,111718
Melaka,Unvaccinated,57547
Negeri Sembilan,Unvaccinated,96978
Pahang,Unvaccinated,71402
Perak,Unvaccinated,93400
Perlis,Unvaccinated,5000
Pulau Pinang,Unvaccinated,110090
Sabah,Unvaccinated,180307
Sarawak,Unvaccinated,123816
Selangor,Unvaccinated,597966
Terengganu,Unvaccinated,53277
W.P. Kuala Lumpur,Unvaccinated,160187
W.P. Labuan,Unvaccinated,11092
W.P. Putrajaya,Unvaccinated,7757
Johor,Partially Vaccinated,39377
Kedah,Partially Vaccinated,28249
Kelantan,Partially Vaccinated,20044
Melaka,Partially Vaccinated,10988
Negeri Sembilan,Partially Vaccinated,14498
Pahang,Partially Vaccinated,12422
Perak,Partially Vaccinated,20693
Perlis,Partially Vaccinated,923
Pulau Pinang,Partially Vaccinated,31061
Sabah,Partially Vaccinated,31678
Sarawak,Partially Vaccinated,17309
Selangor,Partially Vaccinated,152937
Terengganu,Partially Vaccinated,11351
W.P. Kuala Lumpur,Partially Vaccinated,40693
W.P. Labuan,Partially Vaccinated,1146
W.P. Putrajaya,Partially Vaccinated,1314
Johor,Fully Vaccinated,102340
Kedah,Fully Vaccinated,95436
Kelantan,Fully Vaccinated,96922
Melaka,Fully Vaccinated,35013
Negeri Sembilan,Fully Vaccinated,52367
Pahang,Fully Vaccinated,60290
Perak,Fully Vaccinated,62613
Perlis,Fully Vaccinated,9408
Pulau Pinang,Fully Vaccinated,84149
Sabah,Fully Vaccinated,127151
Sarawak,Fully Vaccinated,131135
Selangor,Fully Vaccinated,320657
Terengganu,Fully Vaccinated,45946
W.P. Kuala Lumpur,Fully Vaccinated,80445
W.P. Labuan,Fully Vaccinated,4280
W.P. Putrajaya,Fully Vaccinated,8376
Johor,Taken Booster,69100
Kedah,Taken Booster,55997
Kelantan,Taken Booster,23903
Melaka,Taken Booster,30453
Negeri Sembilan,Taken Booster,56482
Pahang,Taken Booster,32592
Perak,Taken Booster,47806
Perlis,Taken Booster,2975
Pulau Pinang,Taken Booster,70435
Sabah,Taken Booster,52567
Sarawak,Taken Booster,41561
Selangor,Taken Booster,394832
Terengganu,Taken Booster,18517
W.P. Kuala Lumpur,Taken Booster,148900
W.P. Labuan,Taken Booster,5680
W.P. Putrajaya,Taken Booster,9435
