date,state,deaths+AF8-new,deaths+AF8-unvax,deaths+AF8-pvax,deaths+AF8-fvax,deaths+AF8-boost
2020+AC0-03+AC0-17,Johor,1,1,0,0,0
2020+AC0-03+AC0-17,Kedah,0,0,0,0,0
2020+AC0-03+AC0-17,Kelantan,0,0,0,0,0
2020+AC0-03+AC0-17,Melaka,0,0,0,0,0
2020+AC0-03+AC0-17,Negeri Sembilan,0,0,0,0,0
2020+AC0-03+AC0-17,Pahang,0,0,0,0,0
2020+AC0-03+AC0-17,Perak,0,0,0,0,0
2020+AC0-03+AC0-17,Perlis,0,0,0,0,0
2020+AC0-03+AC0-17,Pulau Pinang,0,0,0,0,0
2020+AC0-03+AC0-17,Sabah,0,0,0,0,0
2020+AC0-03+AC0-17,Sarawak,1,1,0,0,0
2020+AC0-03+AC0-17,Selangor,0,0,0,0,0
2020+AC0-03+AC0-17,Terengganu,0,0,0,0,0
2020+AC0-03+AC0-17,W.P. Kuala Lumpur,0,0,0,0,0
2020+AC0-03+AC0-17,W.P. Labuan,0,0,0,0,0
2020+AC0-03+AC0-17,W.P. Putrajaya,0,0,0,0,0
2020+AC0-03+AC0-18,Johor,0,0,0,0,0
2020+AC0-03+AC0-18,Kedah,0,0,0,0,0
2020+AC0-03+AC0-18,Kelantan,0,0,0,0,0
2020+AC0-03+AC0-18,Melaka,0,0,0,0,0
2020+AC0-03+AC0-18,Negeri Sembilan,0,0,0,0,0
2020+AC0-03+AC0-18,Pahang,0,0,0,0,0
2020+AC0-03+AC0-18,Perak,0,0,0,0,0
2020+AC0-03+AC0-18,Perlis,0,0,0,0,0
2020+AC0-03+AC0-18,Pulau Pinang,0,0,0,0,0
2020+AC0-03+AC0-18,Sabah,0,0,0,0,0
2020+AC0-03+AC0-18,Sarawak,0,0,0,0,0
2020+AC0-03+AC0-18,Selangor,0,0,0,0,0
2020+AC0-03+AC0-18,Terengganu,0,0,0,0,0
2020+AC0-03+AC0-18,W.P. Kuala Lumpur,0,0,0,0,0
2020+AC0-03+AC0-18,W.P. Labuan,0,0,0,0,0
2020+AC0-03+AC0-18,W.P. Putrajaya,0,0,0,0,0
2020+AC0-03+AC0-19,Johor,0,0,0,0,0
2020+AC0-03+AC0-19,Kedah,0,0,0,0,0
2020+AC0-03+AC0-19,Kelantan,0,0,0,0,0
2020+AC0-03+AC0-19,Melaka,0,0,0,0,0
2020+AC0-03+AC0-19,Negeri Sembilan,0,0,0,0,0
2020+AC0-03+AC0-19,Pahang,0,0,0,0,0
2020+AC0-03+AC0-19,Perak,0,0,0,0,0
2020+AC0-03+AC0-19,Perlis,0,0,0,0,0
2020+AC0-03+AC0-19,Pulau Pinang,0,0,0,0,0
2020+AC0-03+AC0-19,Sabah,0,0,0,0,0
2020+AC0-03+AC0-19,Sarawak,0,0,0,0,0
2020+AC0-03+AC0-19,Selangor,0,0,0,0,0
2020+AC0-03+AC0-19,Terengganu,0,0,0,0,0
2020+AC0-03+AC0-19,W.P. Kuala Lumpur,0,0,0,0,0
2020+AC0-03+AC0-19,W.P. Labuan,0,0,0,0,0
2020+AC0-03+AC0-19,W.P. Putrajaya,0,0,0,0,0
2020+AC0-03+AC0-20,Johor,0,0,0,0,0
2020+AC0-03+AC0-20,Kedah,0,0,0,0,0
2020+AC0-03+AC0-20,Kelantan,0,0,0,0,0
2020+AC0-03+AC0-20,Melaka,0,0,0,0,0
2020+AC0-03+AC0-20,Negeri Sembilan,0,0,0,0,0
2020+AC0-03+AC0-20,Pahang,0,0,0,0,0
2020+AC0-03+AC0-20,Perak,0,0,0,0,0
2020+AC0-03+AC0-20,Perlis,0,0,0,0,0
2020+AC0-03+AC0-20,Pulau Pinang,0,0,0,0,0
2020+AC0-03+AC0-20,Sabah,1,1,0,0,0
2020+AC0-03+AC0-20,Sarawak,0,0,0,0,0
2020+AC0-03+AC0-20,Selangor,0,0,0,0,0
2020+AC0-03+AC0-20,Terengganu,0,0,0,0,0
2020+AC0-03+AC0-20,W.P. Kuala Lumpur,0,0,0,0,0
2020+AC0-03+AC0-20,W.P. Labuan,0,0,0,0,0
2020+AC0-03+AC0-20,W.P. Putrajaya,0,0,0,0,0
2020+AC0-03+AC0-21,Johor,0,0,0,0,0
2020+AC0-03+AC0-21,Kedah,0,0,0,0,0
2020+AC0-03+AC0-21,Kelantan,1,1,0,0,0
2020+AC0-03+AC0-21,Melaka,1,1,0,0,0
2020+AC0-03+AC0-21,Negeri Sembilan,0,0,0,0,0
2020+AC0-03+AC0-21,Pahang,0,0,0,0,0
2020+AC0-03+AC0-21,Perak,0,0,0,0,0
2020+AC0-03+AC0-21,Perlis,0,0,0,0,0
2020+AC0-03+AC0-21,Pulau Pinang,0,0,0,0,0
2020+AC0-03+AC0-21,Sabah,0,0,0,0,0
2020+AC0-03+AC0-21,Sarawak,1,1,0,0,0
2020+AC0-03+AC0-21,Selangor,0,0,0,0,0
2020+AC0-03+AC0-21,Terengganu,0,0,0,0,0
2020+AC0-03+AC0-21,W.P. Kuala Lumpur,1,1,0,0,0
2020+AC0-03+AC0-21,W.P. Labuan,0,0,0,0,0
2020+AC0-03+AC0-21,W.P. Putrajaya,0,0,0,0,0
2020+AC0-03+AC0-22,Johor,0,0,0,0,0
2020+AC0-03+AC0-22,Kedah,0,0,0,0,0
2020+AC0-03+AC0-22,Kelantan,0,0,0,0,0
2020+AC0-03+AC0-22,Melaka,0,0,0,0,0
2020+AC0-03+AC0-22,Negeri Sembilan,0,0,0,0,0
2020+AC0-03+AC0-22,Pahang,0,0,0,0,0
2020+AC0-03+AC0-22,Perak,0,0,0,0,0
2020+AC0-03+AC0-22,Perlis,1,1,0,0,0
2020+AC0-03+AC0-22,Pulau Pinang,1,1,0,0,0
2020+AC0-03+AC0-22,Sabah,0,0,0,0,0
2020+AC0-03+AC0-22,Sarawak,1,1,0,0,0
2020+AC0-03+AC0-22,Selangor,0,0,0,0,0
2020+AC0-03+AC0-22,Terengganu,0,0,0,0,0
2020+AC0-03+AC0-22,W.P. Kuala Lumpur,1,1,0,0,0
2020+AC0-03+AC0-22,W.P. Labuan,0,0,0,0,0
2020+AC0-03+AC0-22,W.P. Putrajaya,0,0,0,0,0
2020+AC0-03+AC0-23,Johor,3,3,0,0,0
