date,state,variable,value
2020-03-17,Johor,Total,1
2020-03-17,Kedah,Total,0
2020-03-17,Kelantan,Total,0
2020-03-17,Melaka,Total,0
2020-03-17,Negeri Sembilan,Total,0
2020-03-17,Pahang,Total,0
2020-03-17,Perak,Total,0
2020-03-17,Perlis,Total,0
2020-03-17,Pulau Pinang,Total,0
2020-03-17,Sabah,Total,0
2020-03-17,Sarawak,Total,1
2020-03-17,Selangor,Total,0
2020-03-17,Terengganu,Total,0
2020-03-17,W.P. Kuala Lumpur,Total,0
2020-03-17,W.P. Labuan,Total,0
2020-03-17,W.P. Putrajaya,Total,0
2020-03-18,Johor,Total,0
2020-03-18,Kedah,Total,0
2020-03-18,Kelantan,Total,0
2020-03-18,Melaka,Total,0
2020-03-18,Negeri Sembilan,Total,0
2020-03-18,Pahang,Total,0
2020-03-18,Perak,Total,0
2020-03-18,Perlis,Total,0
2020-03-18,Pulau Pinang,Total,0
2020-03-18,Sabah,Total,0
2020-03-18,Sarawak,Total,0
2020-03-18,Selangor,Total,0
2020-03-18,Terengganu,Total,0
2020-03-18,W.P. Kuala Lumpur,Total,0
2020-03-18,W.P. Labuan,Total,0
2020-03-18,W.P. Putrajaya,Total,0
2020-03-19,Johor,Total,0
2020-03-19,Kedah,Total,0
2020-03-19,Kelantan,Total,0
2020-03-19,Melaka,Total,0
2020-03-19,Negeri Sembilan,Total,0
2020-03-19,Pahang,Total,0
2020-03-19,Perak,Total,0
2020-03-19,Perlis,Total,0
2020-03-19,Pulau Pinang,Total,0
2020-03-19,Sabah,Total,0
2020-03-19,Sarawak,Total,0
2020-03-19,Selangor,Total,0
2020-03-19,Terengganu,Total,0
2020-03-19,W.P. Kuala Lumpur,Total,0
2020-03-19,W.P. Labuan,Total,0
2020-03-19,W.P. Putrajaya,Total,0
2020-03-20,Johor,Total,0
2020-03-20,Kedah,Total,0
2020-03-20,Kelantan,Total,0
2020-03-20,Melaka,Total,0
2020-03-20,Negeri Sembilan,Total,0
2020-03-20,Pahang,Total,0
2020-03-20,Perak,Total,0
2020-03-20,Perlis,Total,0
2020-03-20,Pulau Pinang,Total,0
2020-03-20,Sabah,Total,1
2020-03-20,Sarawak,Total,0
2020-03-20,Selangor,Total,0
2020-03-20,Terengganu,Total,0
2020-03-20,W.P. Kuala Lumpur,Total,0
2020-03-20,W.P. Labuan,Total,0
2020-03-20,W.P. Putrajaya,Total,0
2020-03-21,Johor,Total,0
2020-03-21,Kedah,Total,0
2020-03-21,Kelantan,Total,1
2020-03-21,Melaka,Total,1
2020-03-21,Negeri Sembilan,Total,0
2020-03-21,Pahang,Total,0
2020-03-21,Perak,Total,0
2020-03-21,Perlis,Total,0
2020-03-21,Pulau Pinang,Total,0
2020-03-21,Sabah,Total,0
2020-03-21,Sarawak,Total,1
2020-03-21,Selangor,Total,0
2020-03-21,Terengganu,Total,0
2020-03-21,W.P. Kuala Lumpur,Total,1
2020-03-21,W.P. Labuan,Total,0
2020-03-21,W.P. Putrajaya,Total,0
2020-03-22,Johor,Total,0
2020-03-22,Kedah,Total,0
2020-03-22,Kelantan,Total,0
2020-03-22,Melaka,Total,0
2020-03-22,Negeri Sembilan,Total,0
2020-03-22,Pahang,Total,0
2020-03-22,Perak,Total,0
2020-03-22,Perlis,Total,1
2020-03-22,Pulau Pinang,Total,1
2020-03-22,Sabah,Total,0
2020-03-22,Sarawak,Total,1
2020-03-22,Selangor,Total,0
2020-03-22,Terengganu,Total,0
2020-03-22,W.P. Kuala Lumpur,Total,1
2020-03-22,W.P. Labuan,Total,0
2020-03-22,W.P. Putrajaya,Total,0
2020-03-23,Johor,Total,3
2020-03-23,Kedah,Total,0
2020-03-23,Kelantan,Total,0
2020-03-23,Melaka,Total,0
2020-03-23,Negeri Sembilan,Total,0
2020-03-23,Pahang,Total,0
2020-03-23,Perak,Total,0
2020-03-23,Perlis,Total,0
2020-03-23,Pulau Pinang,Total,0
2020-03-23,Sabah,Total,0
2020-03-23,Sarawak,Total,2
2020-03-23,Selangor,Total,0
2020-03-23,Terengganu,Total,0
2020-03-23,W.P. Kuala Lumpur,Total,0
2020-03-23,W.P. Labuan,Total,0
2020-03-23,W.P. Putrajaya,Total,0
2020-03-24,Johor,Total,0
2020-03-24,Kedah,Total,0
2020-03-24,Kelantan,Total,0
2020-03-24,Melaka,Total,1
2020-03-24,Negeri Sembilan,Total,0
2020-03-24,Pahang,Total,0
2020-03-24,Perak,Total,0
2020-03-24,Perlis,Total,0
2020-03-24,Pulau Pinang,Total,0
2020-03-24,Sabah,Total,0
2020-03-24,Sarawak,Total,0
2020-03-24,Selangor,Total,1
2020-03-24,Terengganu,Total,0
2020-03-24,W.P. Kuala Lumpur,Total,0
2020-03-24,W.P. Labuan,Total,0
2020-03-24,W.P. Putrajaya,Total,0
2020-03-25,Johor,Total,2
2020-03-25,Kedah,Total,0
2020-03-25,Kelantan,Total,0
2020-03-25,Melaka,Total,0
2020-03-25,Negeri Sembilan,Total,0
2020-03-25,Pahang,Total,0
2020-03-25,Perak,Total,1
2020-03-25,Perlis,Total,0
2020-03-25,Pulau Pinang,Total,0
2020-03-25,Sabah,Total,0
2020-03-25,Sarawak,Total,0
2020-03-25,Selangor,Total,0
2020-03-25,Terengganu,Total,0
2020-03-25,W.P. Kuala Lumpur,Total,0
2020-03-25,W.P. Labuan,Total,0
2020-03-25,W.P. Putrajaya,Total,0
2020-03-26,Johor,Total,1
2020-03-26,Kedah,Total,1
2020-03-26,Kelantan,Total,1
2020-03-26,Melaka,Total,0
2020-03-26,Negeri Sembilan,Total,0
2020-03-26,Pahang,Total,0
2020-03-26,Perak,Total,1
2020-03-26,Perlis,Total,0
2020-03-26,Pulau Pinang,Total,0
2020-03-26,Sabah,Total,0
2020-03-26,Sarawak,Total,0
2020-03-26,Selangor,Total,0
2020-03-26,Terengganu,Total,0
2020-03-26,W.P. Kuala Lumpur,Total,1
2020-03-26,W.P. Labuan,Total,0
2020-03-26,W.P. Putrajaya,Total,0
2020-03-27,Johor,Total,0
2020-03-27,Kedah,Total,0
2020-03-27,Kelantan,Total,0
2020-03-27,Melaka,Total,0
2020-03-27,Negeri Sembilan,Total,0
2020-03-27,Pahang,Total,0
2020-03-27,Perak,Total,0
2020-03-27,Perlis,Total,0
2020-03-27,Pulau Pinang,Total,0
2020-03-27,Sabah,Total,0
2020-03-27,Sarawak,Total,0
2020-03-27,Selangor,Total,1
2020-03-27,Terengganu,Total,0
2020-03-27,W.P. Kuala Lumpur,Total,0
2020-03-27,W.P. Labuan,Total,0
2020-03-27,W.P. Putrajaya,Total,1
2020-03-28,Johor,Total,2
2020-03-28,Kedah,Total,0
2020-03-28,Kelantan,Total,0
2020-03-28,Melaka,Total,0
2020-03-28,Negeri Sembilan,Total,1
2020-03-28,Pahang,Total,0
2020-03-28,Perak,Total,1
2020-03-28,Perlis,Total,0
2020-03-28,Pulau Pinang,Total,0
2020-03-28,Sabah,Total,0
2020-03-28,Sarawak,Total,0
2020-03-28,Selangor,Total,1
2020-03-28,Terengganu,Total,0
2020-03-28,W.P. Kuala Lumpur,Total,1
2020-03-28,W.P. Labuan,Total,0
2020-03-28,W.P. Putrajaya,Total,0
2020-03-29,Johor,Total,2
2020-03-29,Kedah,Total,0
2020-03-29,Kelantan,Total,0
2020-03-29,Melaka,Total,0
2020-03-29,Negeri Sembilan,Total,0
2020-03-29,Pahang,Total,0
2020-03-29,Perak,Total,0
2020-03-29,Perlis,Total,0
2020-03-29,Pulau Pinang,Total,0
2020-03-29,Sabah,Total,0
2020-03-29,Sarawak,Total,0
2020-03-29,Selangor,Total,2
2020-03-29,Terengganu,Total,0
2020-03-29,W.P. Kuala Lumpur,Total,1
2020-03-29,W.P. Labuan,Total,0
2020-03-29,W.P. Putrajaya,Total,0
2020-03-30,Johor,Total,0
2020-03-30,Kedah,Total,0
2020-03-30,Kelantan,Total,0
2020-03-30,Melaka,Total,0
2020-03-30,Negeri Sembilan,Total,1
2020-03-30,Pahang,Total,0
2020-03-30,Perak,Total,0
2020-03-30,Perlis,Total,0
2020-03-30,Pulau Pinang,Total,0
2020-03-30,Sabah,Total,0
2020-03-30,Sarawak,Total,2
2020-03-30,Selangor,Total,1
2020-03-30,Terengganu,Total,0
2020-03-30,W.P. Kuala Lumpur,Total,0
2020-03-30,W.P. Labuan,Total,0
2020-03-30,W.P. Putrajaya,Total,0
2020-03-31,Johor,Total,1
2020-03-31,Kedah,Total,0
2020-03-31,Kelantan,Total,0
2020-03-31,Melaka,Total,0
2020-03-31,Negeri Sembilan,Total,0
2020-03-31,Pahang,Total,0
2020-03-31,Perak,Total,0
2020-03-31,Perlis,Total,0
2020-03-31,Pulau Pinang,Total,0
2020-03-31,Sabah,Total,0
2020-03-31,Sarawak,Total,1
2020-03-31,Selangor,Total,1
2020-03-31,Terengganu,Total,0
2020-03-31,W.P. Kuala Lumpur,Total,2
2020-03-31,W.P. Labuan,Total,0
2020-03-31,W.P. Putrajaya,Total,0
2020-04-01,Johor,Total,0
2020-04-01,Kedah,Total,0
2020-04-01,Kelantan,Total,0
2020-04-01,Melaka,Total,0
2020-04-01,Negeri Sembilan,Total,0
2020-04-01,Pahang,Total,0
2020-04-01,Perak,Total,0
2020-04-01,Perlis,Total,0
2020-04-01,Pulau Pinang,Total,0
2020-04-01,Sabah,Total,0
2020-04-01,Sarawak,Total,1
2020-04-01,Selangor,Total,1
2020-04-01,Terengganu,Total,0
2020-04-01,W.P. Kuala Lumpur,Total,0
2020-04-01,W.P. Labuan,Total,0
2020-04-01,W.P. Putrajaya,Total,0
2020-04-02,Johor,Total,1
2020-04-02,Kedah,Total,0
2020-04-02,Kelantan,Total,0
2020-04-02,Melaka,Total,0
2020-04-02,Negeri Sembilan,Total,1
2020-04-02,Pahang,Total,0
2020-04-02,Perak,Total,0
2020-04-02,Perlis,Total,0
2020-04-02,Pulau Pinang,Total,0
2020-04-02,Sabah,Total,0
2020-04-02,Sarawak,Total,0
2020-04-02,Selangor,Total,0
2020-04-02,Terengganu,Total,0
2020-04-02,W.P. Kuala Lumpur,Total,0
2020-04-02,W.P. Labuan,Total,0
2020-04-02,W.P. Putrajaya,Total,0
2020-04-03,Johor,Total,0
2020-04-03,Kedah,Total,0
2020-04-03,Kelantan,Total,1
2020-04-03,Melaka,Total,0
2020-04-03,Negeri Sembilan,Total,1
2020-04-03,Pahang,Total,1
2020-04-03,Perak,Total,1
2020-04-03,Perlis,Total,0
2020-04-03,Pulau Pinang,Total,0
2020-04-03,Sabah,Total,0
2020-04-03,Sarawak,Total,1
2020-04-03,Selangor,Total,0
2020-04-03,Terengganu,Total,0
2020-04-03,W.P. Kuala Lumpur,Total,0
2020-04-03,W.P. Labuan,Total,0
2020-04-03,W.P. Putrajaya,Total,0
2020-04-04,Johor,Total,0
2020-04-04,Kedah,Total,0
2020-04-04,Kelantan,Total,0
2020-04-04,Melaka,Total,0
2020-04-04,Negeri Sembilan,Total,0
2020-04-04,Pahang,Total,0
2020-04-04,Perak,Total,0
2020-04-04,Perlis,Total,0
2020-04-04,Pulau Pinang,Total,0
2020-04-04,Sabah,Total,1
2020-04-04,Sarawak,Total,1
2020-04-04,Selangor,Total,0
2020-04-04,Terengganu,Total,0
2020-04-04,W.P. Kuala Lumpur,Total,1
2020-04-04,W.P. Labuan,Total,0
2020-04-04,W.P. Putrajaya,Total,0
2020-04-05,Johor,Total,0
2020-04-05,Kedah,Total,0
2020-04-05,Kelantan,Total,0
2020-04-05,Melaka,Total,0
2020-04-05,Negeri Sembilan,Total,0
2020-04-05,Pahang,Total,0
2020-04-05,Perak,Total,0
2020-04-05,Perlis,Total,0
2020-04-05,Pulau Pinang,Total,0
2020-04-05,Sabah,Total,0
2020-04-05,Sarawak,Total,1
2020-04-05,Selangor,Total,0
2020-04-05,Terengganu,Total,1
2020-04-05,W.P. Kuala Lumpur,Total,0
2020-04-05,W.P. Labuan,Total,0
2020-04-05,W.P. Putrajaya,Total,0
2020-04-06,Johor,Total,0
2020-04-06,Kedah,Total,0
2020-04-06,Kelantan,Total,0
2020-04-06,Melaka,Total,0
