state,variable,value
Johor,ssp,662787
Kedah,ssp,257689
Kelantan,ssp,130694
Melaka,ssp,226844
Negeri Sembilan,ssp,242108
Pahang,ssp,200618
Perak,ssp,404638
Perlis,ssp,21535
Pulau Pinang,ssp,308523
Sabah,ssp,217356
Sarawak,ssp,1039846
Selangor,ssp,1715412
Terengganu,ssp,167431
W.P. Kuala Lumpur,ssp,716306
W.P. Labuan,ssp,6872
W.P. Putrajaya,ssp,26078
Johor,ppp,942875
Kedah,ppp,391417
Kelantan,ppp,175054
Melaka,ppp,245030
Negeri Sembilan,ppp,361050
Pahang,ppp,366284
Perak,ppp,635842
Perlis,ppp,53457
Pulau Pinang,ppp,445576
Sabah,ppp,563093
Sarawak,ppp,297248
Selangor,ppp,979158
Terengganu,ppp,166146
W.P. Kuala Lumpur,ppp,404134
W.P. Labuan,ppp,42508
W.P. Putrajaya,ppp,43406
Johor,sss,112624
Kedah,sss,46241
Kelantan,sss,9406
Melaka,sss,29660
Negeri Sembilan,sss,20430
Pahang,sss,40534
Perak,sss,66325
Perlis,sss,2710
Pulau Pinang,sss,153567
Sabah,sss,72717
Sarawak,sss,194063
Selangor,sss,286590
Terengganu,sss,7778
W.P. Kuala Lumpur,sss,161897
W.P. Labuan,sss,216
W.P. Putrajaya,sss,7689
Johor,aap,98192
Kedah,aap,22765
Kelantan,aap,6163
Melaka,aap,8929
Negeri Sembilan,aap,12409
Pahang,aap,13743
Perak,aap,50865
Perlis,aap,1301
Pulau Pinang,aap,89898
Sabah,aap,31107
Sarawak,aap,38569
Selangor,aap,277740
Terengganu,aap,7764
W.P. Kuala Lumpur,aap,149541
W.P. Labuan,aap,232
W.P. Putrajaya,aap,5207
Johor,aaa,118267
Kedah,aaa,17851
Kelantan,aaa,1291
Melaka,aaa,4969
Negeri Sembilan,aaa,1170
Pahang,aaa,282
Perak,aaa,650
Perlis,aaa,0
Pulau Pinang,aaa,67249
Sabah,aaa,3468
Sarawak,aaa,5930
Selangor,aaa,380146
Terengganu,aaa,748
W.P. Kuala Lumpur,aaa,167536
W.P. Labuan,aaa,0
W.P. Putrajaya,aaa,816
Johor,ssa,81498
Kedah,ssa,4252
Kelantan,ssa,6784
Melaka,ssa,13682
Negeri Sembilan,ssa,8630
Pahang,ssa,2682
Perak,ssa,1474
Perlis,ssa,270
Pulau Pinang,ssa,6569
Sabah,ssa,1665
Sarawak,ssa,751
Selangor,ssa,257462
Terengganu,ssa,4245
W.P. Kuala Lumpur,ssa,95524
W.P. Labuan,ssa,0
W.P. Putrajaya,ssa,611
Johor,ppa,112970
Kedah,ppa,5347
Kelantan,ppa,7319
Melaka,ppa,14743
Negeri Sembilan,ppa,13627
Pahang,ppa,2015
Perak,ppa,780
Perlis,ppa,0
Pulau Pinang,ppa,7122
Sabah,ppa,3919
Sarawak,ppa,219
Selangor,ppa,157773
Terengganu,ppa,1664
W.P. Kuala Lumpur,ppa,30968
W.P. Labuan,ppa,0
W.P. Putrajaya,ppa,538
Johor,cp,551
Kedah,cp,1241
Kelantan,cp,217
Melaka,cp,443
Negeri Sembilan,cp,548
Pahang,cp,1746
Perak,cp,3011
Perlis,cp,249
Pulau Pinang,cp,955
Sabah,cp,27734
Sarawak,cp,192
Selangor,cp,2371
Terengganu,cp,130
W.P. Kuala Lumpur,cp,487
W.P. Labuan,cp,69
W.P. Putrajaya,cp,12
Johor,other,3687
Kedah,other,786
Kelantan,other,635
Melaka,other,580
Negeri Sembilan,other,645
Pahang,other,1212
Perak,other,1488
Perlis,other,36
Pulau Pinang,other,1320
Sabah,other,2063
Sarawak,other,3237
Selangor,other,5363
Terengganu,other,464
W.P. Kuala Lumpur,other,3276
W.P. Labuan,other,131
W.P. Putrajaya,other,78
Johor,pps,3625
Kedah,pps,957
Kelantan,pps,478
Melaka,pps,819
Negeri Sembilan,pps,558
Pahang,pps,737
Perak,pps,1984
Perlis,pps,89
Pulau Pinang,pps,1438
Sabah,pps,2820
Sarawak,pps,826
Selangor,pps,6256
Terengganu,pps,253
W.P. Kuala Lumpur,pps,1839
W.P. Labuan,pps,4
W.P. Putrajaya,pps,15
