date,state,variable,value
2021-02-24,Johor,Pfizer,2
2021-02-24,Kedah,Pfizer,0
2021-02-24,Kelantan,Pfizer,1
2021-02-24,Melaka,Pfizer,0
2021-02-24,Negeri Sembilan,Pfizer,0
2021-02-24,Pahang,Pfizer,0
2021-02-24,Perak,Pfizer,0
2021-02-24,Perlis,Pfizer,0
2021-02-24,Pulau Pinang,Pfizer,0
2021-02-24,Sabah,Pfizer,1
2021-02-24,Sarawak,Pfizer,1
2021-02-24,Selangor,Pfizer,0
2021-02-24,Terengganu,Pfizer,0
2021-02-24,W.P. Kuala Lumpur,Pfizer,41
2021-02-24,W.P. Labuan,Pfizer,0
2021-02-24,W.P. Putrajaya,Pfizer,20
2021-02-25,Johor,Pfizer,80
2021-02-25,Kedah,Pfizer,0
2021-02-25,Kelantan,Pfizer,0
2021-02-25,Melaka,Pfizer,0
2021-02-25,Negeri Sembilan,Pfizer,0
2021-02-25,Pahang,Pfizer,123
2021-02-25,Perak,Pfizer,296
2021-02-25,Perlis,Pfizer,0
2021-02-25,Pulau Pinang,Pfizer,0
2021-02-25,Sabah,Pfizer,1
2021-02-25,Sarawak,Pfizer,2
2021-02-25,Selangor,Pfizer,43
2021-02-25,Terengganu,Pfizer,0
2021-02-25,W.P. Kuala Lumpur,Pfizer,544
2021-02-25,W.P. Labuan,Pfizer,2
2021-02-25,W.P. Putrajaya,Pfizer,55
2021-02-26,Johor,Pfizer,0
2021-02-26,Kedah,Pfizer,6
2021-02-26,Kelantan,Pfizer,0
2021-02-26,Melaka,Pfizer,259
2021-02-26,Negeri Sembilan,Pfizer,0
2021-02-26,Pahang,Pfizer,770
2021-02-26,Perak,Pfizer,563
2021-02-26,Perlis,Pfizer,156
2021-02-26,Pulau Pinang,Pfizer,325
2021-02-26,Sabah,Pfizer,12
2021-02-26,Sarawak,Pfizer,1368
2021-02-26,Selangor,Pfizer,279
2021-02-26,Terengganu,Pfizer,11
2021-02-26,W.P. Kuala Lumpur,Pfizer,328
2021-02-26,W.P. Labuan,Pfizer,0
2021-02-26,W.P. Putrajaya,Pfizer,19
2021-02-27,Johor,Pfizer,3
2021-02-27,Kedah,Pfizer,37
2021-02-27,Kelantan,Pfizer,0
2021-02-27,Melaka,Pfizer,16
2021-02-27,Negeri Sembilan,Pfizer,0
2021-02-27,Pahang,Pfizer,1765
2021-02-27,Perak,Pfizer,242
2021-02-27,Perlis,Pfizer,3
2021-02-27,Pulau Pinang,Pfizer,6
2021-02-27,Sabah,Pfizer,566
2021-02-27,Sarawak,Pfizer,3615
2021-02-27,Selangor,Pfizer,78
2021-02-27,Terengganu,Pfizer,1
2021-02-27,W.P. Kuala Lumpur,Pfizer,226
2021-02-27,W.P. Labuan,Pfizer,136
2021-02-27,W.P. Putrajaya,Pfizer,6
2021-02-28,Johor,Pfizer,829
2021-02-28,Kedah,Pfizer,785
2021-02-28,Kelantan,Pfizer,162
2021-02-28,Melaka,Pfizer,0
2021-02-28,Negeri Sembilan,Pfizer,0
2021-02-28,Pahang,Pfizer,100
2021-02-28,Perak,Pfizer,134
2021-02-28,Perlis,Pfizer,0
2021-02-28,Pulau Pinang,Pfizer,12
2021-02-28,Sabah,Pfizer,468
2021-02-28,Sarawak,Pfizer,3188
2021-02-28,Selangor,Pfizer,68
2021-02-28,Terengganu,Pfizer,461
2021-02-28,W.P. Kuala Lumpur,Pfizer,150
2021-02-28,W.P. Labuan,Pfizer,359
2021-02-28,W.P. Putrajaya,Pfizer,1
2021-03-01,Johor,Pfizer,2150
2021-03-01,Kedah,Pfizer,1066
2021-03-01,Kelantan,Pfizer,1795
2021-03-01,Melaka,Pfizer,157
2021-03-01,Negeri Sembilan,Pfizer,585
2021-03-01,Pahang,Pfizer,1209
2021-03-01,Perak,Pfizer,1893
2021-03-01,Perlis,Pfizer,354
2021-03-01,Pulau Pinang,Pfizer,447
2021-03-01,Sabah,Pfizer,128
2021-03-01,Sarawak,Pfizer,1742
2021-03-01,Selangor,Pfizer,610
2021-03-01,Terengganu,Pfizer,0
2021-03-01,W.P. Kuala Lumpur,Pfizer,2365
2021-03-01,W.P. Labuan,Pfizer,452
2021-03-01,W.P. Putrajaya,Pfizer,440
2021-03-02,Johor,Pfizer,1490
2021-03-02,Kedah,Pfizer,1188
2021-03-02,Kelantan,Pfizer,2870
2021-03-02,Melaka,Pfizer,1087
2021-03-02,Negeri Sembilan,Pfizer,1326
2021-03-02,Pahang,Pfizer,2106
2021-03-02,Perak,Pfizer,2547
2021-03-02,Perlis,Pfizer,538
2021-03-02,Pulau Pinang,Pfizer,1045
2021-03-02,Sabah,Pfizer,369
2021-03-02,Sarawak,Pfizer,637
2021-03-02,Selangor,Pfizer,1208
2021-03-02,Terengganu,Pfizer,2059
2021-03-02,W.P. Kuala Lumpur,Pfizer,2344
2021-03-02,W.P. Labuan,Pfizer,390
2021-03-02,W.P. Putrajaya,Pfizer,484
2021-03-03,Johor,Pfizer,2069
2021-03-03,Kedah,Pfizer,1405
2021-03-03,Kelantan,Pfizer,3395
2021-03-03,Melaka,Pfizer,1097
2021-03-03,Negeri Sembilan,Pfizer,1218
